sku,image_path,storage_object,status,detail
G3D00001,DATA1_Images/G3D00001.PIC.113206.jpg,drive-source/6408d83cf03be9a6eb65/G3D00001.PIC.113206.jpg,ALREADY_IN_STORAGE,
G3D00002,DATA1_Images/G3D00002.PIC.113213.jpg,drive-source/bf25629f2296cbfe5564/G3D00002.PIC.113213.jpg,ALREADY_IN_STORAGE,
G3D00003,DATA1_Images/G3D00003.PIC.113220.jpg,drive-source/bd956474d899658d5c9c/G3D00003.PIC.113220.jpg,ALREADY_IN_STORAGE,
G3D00004,DATA1_Images/G3D00004.PIC.113225.jpg,drive-source/184af20046d699a9b957/G3D00004.PIC.113225.jpg,ALREADY_IN_STORAGE,
G3D00005,DATA1_Images/G3D00005.PIC.113605.jpg,drive-source/4230f05c98d7b6b5f8fe/G3D00005.PIC.113605.jpg,ALREADY_IN_STORAGE,
G3D00006,DATA1_Images/G3D00006.PIC.113558.jpg,drive-source/500877f52651dce2942f/G3D00006.PIC.113558.jpg,ALREADY_IN_STORAGE,
G3D00007,DATA1_Images/G3D00007.PIC.113552.jpg,drive-source/104669e8815d972a4251/G3D00007.PIC.113552.jpg,ALREADY_IN_STORAGE,
G3D00008,DATA1_Images/G3D00008.PIC.113848.jpg,drive-source/17a1fa0f0be50775d9c2/G3D00008.PIC.113848.jpg,ALREADY_IN_STORAGE,
G3D00009,DATA1_Images/G3D00009.PIC.113840.jpg,drive-source/79c115b92f7c5370f8e8/G3D00009.PIC.113840.jpg,ALREADY_IN_STORAGE,
G3D00010,DATA1_Images/G3D00010.PIC.113857.jpg,drive-source/acdd372bc61b19703426/G3D00010.PIC.113857.jpg,ALREADY_IN_STORAGE,
GAFT00007,DATA1_Images/GAFT00007.PIC.063337.jpg,drive-source/fba8a99978e04deabb6e/GAFT00007.PIC.063337.jpg,SOURCE_NOT_FOUND,ไม่พบใน Drive index
GAFT00034,DATA1_Images/GAFT00034.PIC.063421.jpg,drive-source/88dee82e6de91f03628f/GAFT00034.PIC.063421.jpg,SOURCE_NOT_FOUND,ไม่พบใน Drive index
GAFT00035,DATA1_Images/GAFT00035.PIC.063653.jpg,drive-source/04527e8919b585810d41/GAFT00035.PIC.063653.jpg,SOURCE_NOT_FOUND,ไม่พบใน Drive index
GBOX00001,DATA1_Images/GBOX00001.PIC.021303.jpg,drive-source/66a854424883f2a787e3/GBOX00001.PIC.021303.jpg,SOURCE_NOT_FOUND,ไม่พบใน Drive index
GCASTER00001,DATA1_Images/GCASTER00001.PIC.105228.jpg,drive-source/3951981725a6e6715045/GCASTER00001.PIC.105228.jpg,SOURCE_NOT_FOUND,ไม่พบใน Drive index
GCASTER00002,DATA1_Images/GCASTER00002.PIC.092530.jpg,drive-source/941e0886420ff0516d23/GCASTER00002.PIC.092530.jpg,SOURCE_NOT_FOUND,ไม่พบใน Drive index
