sheet,excel_row,item_id,legacy_id,result,detail
RECEIVE,2,GEL00002,093cfa84,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,3,GEL00003,093cfa85,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,4,GEL00004,093cfa86,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,5,GEL00005,093cfa87,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,6,GEL00007,093cfa89,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,7,GEL00008,093cfa90,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,8,GEL00010,093cfa92,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,9,GEL00011,093cfa93,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,10,GEL00012,093cfa94,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,11,GEL00013,093cfa95,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,12,GEL00014,093cfa96,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,13,GEL00015,093cfa97,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,14,GEL00016,093cfa98,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,15,GEL00017,093cfa99,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,16,GEL00018,093cfa100,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,17,GEL00019,093cfa101,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,18,GEL00020,093cfa102,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,19,GEL00021,093cfa103,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,20,GEL00022,093cfa104,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,21,GEL00023,093cfa105,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,22,GEL00025,093cfa107,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,23,GEL00026,093cfa108,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,24,GEL00027,093cfa109,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,25,GEL00028,093cfa110,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,26,GEL00029,093cfa111,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,27,GEL00030,093cfa112,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,28,GEL00031,093cfa113,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,29,GEL00032,093cfa114,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,30,GEL00033,093cfa115,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,31,GEL00034,093cfa116,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,32,GEL00035,093cfa117,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,33,GEL00036,093cfa118,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,34,GEL00037,093cfa119,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,35,GEL00038,093cfa120,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,36,GEL00039,093cfa121,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,37,GEL00040,093cfa122,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,38,GEL00044,093cfa126,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,39,GEL00045,093cfa127,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,40,GEL00046,093cfa128,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,41,GEL00047,093cfa129,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,42,GEL00048,093cfa130,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,43,GEL00049,093cfa131,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,44,GEL00050,093cfa132,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,45,GEL00051,093cfa133,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,46,GEL00053,093cfa135,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,47,GEL00055,093cfa137,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,48,GEL00056,093cfa138,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,49,GEL00059,093cfa141,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,50,GEL00060,093cfa142,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,51,GEL00061,093cfa143,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,52,GEL00062,093cfa144,ERROR,"duplicate key value violates unique constraint ""core_stocktransaction_transaction_no_key""
DETAIL:  Key (transaction_no)=() already exists."
RECEIVE,53,GEL00063,093cfa145,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,54,GEL00065,093cfa147,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,55,GEL00066,093cfa148,ERROR,"duplicate key value violates unique constraint ""core_stocktransaction_transaction_no_key""
DETAIL:  Key (transaction_no)=() already exists."
RECEIVE,56,GEL00067,093cfa149,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,57,GEL00068,093cfa150,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,58,GB00078,093cfa151,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,59,GB00079,093cfa152,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,60,GB00080,093cfa153,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,61,GB00081,093cfa154,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,62,GB00082,093cfa155,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,63,GB00083,093cfa156,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,64,GB00084,093cfa157,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,65,GB00085,093cfa158,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,66,GB00086,093cfa158-1,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,67,GB00087,093cfa159,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,68,GB00088,093cfa160,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,69,GB00089,093cfa161,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,70,GB00090,093cfa162,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,71,GB00091,093cfa163,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,72,GB00092,093cfa164,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,73,GB00093,093cfa165,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,74,GB00094,093cfa166,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,75,GB00095,093cfa167,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,76,GB00096,093cfa168,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,77,GB00097,093cfa169,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,78,GB00098,093cfa170,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,79,GB00099,093cfa171,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,80,GB00100,093cfa172,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,81,GB00101,093cfa173,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,82,GB00102,093cfa174,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,83,GB00103,093cfa175,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,84,GB00104,093cfa176,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,85,GB00105,093cfa177,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,86,GB00106,093cfa178,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,87,GB00107,093cfa179,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,88,GB00108,093cfa180,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,89,GB00109,093cfa181,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,90,GMP00006,093cfa182,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,91,GMP00007,093cfa183,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,92,GMP00008,093cfa184,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,93,GMP00001,093cfa186,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,94,GMP00003,093cfa188,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,95,GMP00005,093cfa190,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,96,GB00030,093cfa191,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,97,GB00032,093cfa192,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,98,GB00034,093cfa193,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,99,GB00035,093cfa194,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,100,GB00036,093cfa195,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,101,GB00037,093cfa196,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
RECEIVE,102,GB00038,093cfa197,ERROR,"Cannot assign ""<Employee: Employee object (4d74f0c8-3c17-4150-a075-68bcf8d628c7)>"": ""StockTransaction.created_by"" must be a ""User"" instance."
