sheet,excel_row,item_id,legacy_id,result,detail
RECEIVE,50,GEL00060,093cfa142,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,52,GEL00062,093cfa144,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,55,GEL00066,093cfa148,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,469,GFT00017,093cfa934,SKIPPED_MISSING_PART,part not found in current Part master
RECEIVE,472,GFT00020,093cfa937,SKIPPED_MISSING_PART,part not found in current Part master
RECEIVE,790,GGC00033,093cfa1256,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,791,GGC00034,093cfa1257,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,792,GGC00035,093cfa1258,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,793,GGC00036,093cfa1259,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,794,GGC00037,093cfa1260,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,795,GGC00038,093cfa1261,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,796,GGC00039,093cfa1262,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,797,GGC00040,093cfa1263,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,798,GGC00042,093cfa1264,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,799,GGC00043,093cfa1265,SKIPPED_ZERO_AMOUNT,AMOUNT=0
RECEIVE,1198,GPG00010,093cfa1667,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1870,GBR00177,093cfa2342,SKIPPED_MISSING_PART,part not found in current Part master
RECEIVE,1871,GBR00177,093cfa2343,SKIPPED_MISSING_PART,part not found in current Part master
RECEIVE,1872,GBR00177,093cfa2344,SKIPPED_MISSING_PART,part not found in current Part master
RECEIVE,1986,GEL00065,ded560f7,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1987,G3D00008,b32c6a5b,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1988,G3D00009,aa182192,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1989,G3D00010,4f80f6ab,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1990,G3D00011,db9723e4,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1991,GEL00056,9550f7e3,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1992,GEL00057,4ab5e22a,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1993,GEL00052,d8d0e48a,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1994,GEL00001,3f23bdf2,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1995,GEL00002,4d2d9b92,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1996,GEL00004,90cd0e15,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1997,GEL00005,c269f3d5,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1998,GEL00006,688599f8,IMPORTED_WITH_WARNING,machine unmatched
RECEIVE,1999,GEL00009,b332b6ff,IMPORTED_WITH_WARNING,machine unmatched
