old_code,current_code,code_type,note,active
BFD-15,BFD15B,OLD,Confirmed old machine code after factory relocation,1
BFD-13,BFD13B,OLD,Confirmed old machine code after factory relocation,1
BFD-18,BFD18B,OLD,Confirmed old machine code after factory relocation,1
MLG-02,MLG02B,OLD,Confirmed old machine code after factory relocation,1
BFD-19,BFD19B,OLD,Confirmed old machine code after factory relocation,1
BSM-03,BSM03B,OLD,Confirmed old machine code after factory relocation,1
BSM-06,BSM06B,OLD,Confirmed old machine code after factory relocation,1
BFD-17,BFD17B,OLD,Confirmed old machine code after factory relocation,1
BFD-14,BFD14B,OLD,Confirmed old machine code after factory relocation,1
MLG-01,MLG01B,OLD,Confirmed old machine code after factory relocation,1
CPT-03,CPT03B,OLD,Confirmed old machine code after factory relocation,1
MLG-04,MLG04B,OLD,Confirmed old machine code after factory relocation,1
BLK-08,BLK08B,OLD,Confirmed old machine code after factory relocation,1
BLK-03,BLK03B,OLD,Confirmed old machine code after factory relocation,1
IDT-03,IDT03B,OLD,Confirmed old machine code after factory relocation,1
