stock_code,occurrences,part_count,suggested_current_code,suggestion_reason,decision,approved_current_code,example_parts,note
BSM-LINE,24,24,,,,,"GBR00072, GBR00079, GBR00193, GFTT00073, GFTT00097, GGC00010, GGC00011, GHC00006, GMNT00053, GMT00064, GOR00075, GOVL00040, GOVL00050, GSCBIG00016, GSCBIG00017, GSCBIG00025, GSLN00041, GSLN00044, GSLN00056, GSR00023",
SPG-LINE,21,21,,,,,"GA00007, GBS00004, GBS00005, GBS00052, GBS00053, GCNT00008, GCNT00010, GCTTM00012, GCTTM00013, GCTTM00017, GGC00009, GMNT00039, GOR00104, GPLC00012, GPS00001, GRY00009, GRY00035, GSR00040, GSR00114, GSR00153",
THB-LINE,13,13,,,,,"GBR00153, GCTTM00031, GHC00001, GHC00005, GHC00008, GMT00024, GRY00041, GRY00053, GSR00046, GSR00109, GSW00079, GVV00018, GVV00019",
MPA-LINE,12,12,,,,,"GAFT00022, GBOX00003, GCTTM00026, GHC00001, GHC00002, GHC00008, GMT00002, GOR00038, GOR00120, GRY00009, GSCBIG00013, GSW00083",
IDG-LINE,8,8,,,,,"GBR00120, GBR00204, GCTTM00010, GFT00007, GMT00030, GMT00032, GMT00049, GSR00121",
TRM-LINE,8,8,,,,,"GHC00006, GRY00009, GRY00051, GRY00064, GSR00134, GSW00009, GSW00010, GTFM00013",
OGM-LINE,7,7,,,,,"GAFT00024, GBR00032, GCNT00010, GOR00023, GOVL00042, GPS00002, GSR00071",
CPT-LINE,6,6,,,,,"GCNT00001, GCTTM00024, GMNT00052, GOR00037, GPG00008, GSW00019",
RLP-LINE,6,6,,,,,"GAFT00034, GBR00011, GBR00084, GBT00151, GFMT00020, GFMT00024",
BRL-LINE,6,6,,,,,"GOR00069, GPS00001, GPS00005, GRY00064, GSW00041, GSW00066",
TRM-NEW,5,5,,,,,"GCNT00002, GRY00016, GRY00054, GRY00064, GSW00012",
CHK-LINE,3,3,,,,,"GFTT00166, GFTT00168, GFTT00169",
PVD-LINE,3,3,,,,,"GAFT00040, GMNT00032, GOVL00020",
CGM-LINE,3,3,,,,,"GCTTM00003, GHC00002, GHC00005",
BFD,3,3,,,,,"GDWG00009, GDWG00015, GDWG00054",
MPA,3,3,,,,,"GDWG00014, GDWG00026, GDWG00041",
ALLRODEND,2,2,,,,,"GLABIG00001, GLABIG00002",
IGM-LINE,2,2,,,,,"GSR00041, GSR00084",
BLK-LINE,2,2,,,,,"GBOX00004, GHC00007",
IDT-LINE,2,2,,,,,"GBR00108, GHC00002",
HTM-LINE,2,2,,,,,"GBK00027, GOR00083",
RLP03B,2,2,,,,,"GDWG00042, GDWG00043",
IDT04B,1,1,,,,,GPP00018,
IDT02B,1,1,,,,,GPP00037,
BFG-LINE,1,1,,,,,GFTT00056,
RLS-NEW,1,1,,,,,GFTT00060,
SBM-LINE,1,1,,,,,GFTT00092,
MDM,1,1,,,,,GFTT00113,
T/N,1,1,,,,,GFTT00152,
MLG-LINE,1,1,,,,,GSR00060,
EGM-LINE,1,1,,,,,GSR00166,
STE,1,1,,,,,GSR00171,
OVN-LINE,1,1,,,,,GBOX00007,
VSG-LINE,1,1,,,,,GBTR00003,
CPT-NEW,1,1,,,,,GSCBIG00017,
TOOLING,1,1,,,,,GSCBIG00018,
BRL,1,1,,,,,GVV00005,
RLS-LINE,1,1,,,,,GSLN00008,
SGM-LINE,1,1,,,,,GSLN00057,
TEF-LINE,1,1,,,,,GOVL00010,
BRL-NEW,1,1,,,,,GRY00066,
BODY-LINE,1,1,,,,,GBR00090,
BALL-LINE,1,1,,,,,GBR00245,
BSM11B,1,1,,,,,GBK00012,
BSM12B,1,1,,,,,GBK00012,
BFD-BUFF,1,1,,,,,GLA00027,
MKM-LINE,1,1,,,,,GLA00031,
BFG-NEW,1,1,,,,,GLA00041,
TRQ-LINE,1,1,,,,,GMT00015,
RLS,1,1,,,,,GDWG00005,
SPG,1,1,,,,,GDWG00016,
PVD,1,1,,,,,GDWG00024,
