reference_code,category,suggested_action,decision,target_current_code,result_code_type,note
ALLRODEND,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
APC-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
APC-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
APC-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BALL-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BEN-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-127,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-1516,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-20,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-21,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-22,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-23,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-24,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-25,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-26,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-28,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-29,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-31,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-32,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-34,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-35,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-9,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-BUFF,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFG-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFG-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFG-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFG-NEW,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BODY-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-1,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-13,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-14,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-15,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-16,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-17,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-NEW,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-25,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM11B,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BSM12B,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BTM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-13,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-14,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CGM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-13,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-14,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CHK-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CNT-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CPT-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CPT-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CPT-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CPT-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CPT-NEW,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CTG-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CTG-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CTG-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CTG-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CTG-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CTG-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CUR-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CWM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CWM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CWM-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CWM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CWM-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
CWM-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
DFB-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
DFB-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
DFB-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
DMG-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
DMG-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
EGM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
EGM-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
EGM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
EGM-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
EGM-1,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
EGM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
FJT-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
FOC-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
FPI-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
FRL-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
FRL-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
HSG-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
HTM-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
HTM-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
HTM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
HTN-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-06,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-07,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-08,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-09,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-10,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-11,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-12,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDG-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDT-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDT-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDT-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDT-05,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDT-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDT02B,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IDT04B,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IFT-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IGM-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IGM-02,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IGM-03,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IGM-04,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
IGM-LINE,LINE,LINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
KWY-01,STRICT,NEW_MACHINE,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
