reference_code,category,suggested_action,decision,target_current_code,result_code_type,note
ALLRODEND,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
APC-01,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
APC-03,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
APC-04,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BALL-LINE,LINE,LINE,LINE,,,Production line / group; not a physical machine
BEN-01,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFD-09,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-10,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-11,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-12,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-127,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-1516,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-16,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-20,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-21,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-22,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-23,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-24,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-25,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-26,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-28,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-29,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-31,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-32,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-34,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-35,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-9,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFD-BUFF,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BFG-01,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFG-04,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BFG-LINE,LINE,LINE,LINE,,,Production line / group; not a physical machine
BFG-NEW,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BLK-01,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-02,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-04,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-05,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-06,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-07,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-09,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-10,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-11,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-12,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BLK-LINE,LINE,LINE,LINE,,,Production line / group; not a physical machine
BODY-LINE,LINE,LINE,LINE,,,Production line / group; not a physical machine
BRL,OTHER,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRL-02,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-03,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-05,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-06,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-08,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-09,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-1,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-10,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-11,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-12,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-13,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-14,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-15,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-16,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-17,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BRL-LINE,LINE,LINE,LINE,,,Production line / group; not a physical machine
BRL-NEW,IRREGULAR,REVIEW,,,,Found in STOCK Machine Name; not yet mapped to Machine Master.
BRM-01,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-01,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-02,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-04,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-05,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-07,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-08,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-09,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-10,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
BSM-11,STRICT,NEW_MACHINE,NEW_MACHINE,,,Proposed physical machine from strict machine-code pattern
