machine_code,occurrences,part_count,example_parts
BSM-10,45,45,"GBK00054, GBR00023, GBR00045, GBR00077, GBR00094, GBR00098, GBR00100, GBR00103, GBR00104, GBR00107, GBR00126, GBR00168, GBR00271, GBT00030, GCOUP00012, GCTTM00001, GFTT00064, GFTT00082, GFTT00085, GFTT00086"
CPT-02,43,43,"GA00011, GAFT00029, GBR00023, GBR00111, GBR00227, GBR00254, GBR00255, GBR00286, GBR00291, GCNT00002, GCNT00004, GCNT00020, GCTTM00004, GFMT00007, GFTT00166, GGC00023, GMNT00013, GMNT00031, GMNT00036, GOVL00006"
CGM-08,41,41,"GBR00020, GBR00030, GBR00035, GBR00051, GBR00069, GBR00075, GBR00090, GBR00119, GBR00177_C, GBT00019, GBT00116, GBT00141, GCTTM00007, GCTTM00024, GFTT00014, GFTT00055, GFTT00067, GFTT00156, GHC00004, GMT00005"
BFD-11,37,37,"GA00009, GA00010, GA00011, GA00012, GB00018, GB00028, GBR00007, GBR00087, GBR00090, GBR00273, GBS00008, GBT00045, GBT00046, GCHUCK00008, GCNT00023, GFT00010, GJON00059, GMNT00001, GMNT00003, GMNT00014"
CGM-04,37,37,"GBK00017, GBR00020, GBR00046, GBR00051, GBR00061, GBR00082, GBR00087, GBR00091, GBR00119, GBR00153, GBR00175, GBR00196, GBR00218, GBR00219, GBR00284, GBT00027, GBT00051, GBT00127, GCNT00004, GCNT00020"
BSM-02,37,37,"GBR00045, GBR00054, GBR00077, GBR00094, GBR00100, GBR00103, GBR00104, GBR00107, GBR00109, GBR00126, GBR00168, GBR00201, GBT00030, GBT00094, GCNT00003, GCTTM00033, GFTT00014, GFTT00027, GFTT00038, GFTT00051"
SPG-08,35,35,"GAFT00008, GBR00059, GBR00083, GBR00192, GBT00077, GCNT00020, GCTTM00016, GDWG00027, GDWG00028, GDWG00030, GDWG00033, GDWG00034, GFT00010, GFTT00170, GHC00002, GHC00005, GHC00006, GMNT00028, GMT00006, GMT00057"
BSM-09,33,33,"GA00007, GAFT00018, GBOX00004, GBR00045, GBR00077, GBR00094, GBR00100, GBR00103, GBR00104, GBR00105, GBR00126, GBR00168, GBR00271, GCNT00002, GCNT00020, GCNT00026, GCTTM00003, GCVT00017, GFTT00052, GFTT00064"
BFD-21,32,32,"GA00009, GA00012, GB00010, GB00018, GBR00018, GBR00090, GBR00091, GBR00173, GBR00193, GBR00246, GBS00010, GBS00036, GBT00048, GBT00057, GCHUCK00009, GCNT00023, GCTTM00040, GFMT00007, GFMT00027, GFTT00087"
MPA-01,30,30,"GAFT00020, GAFT00023, GB00001, GB00014, GBR00233, GBR00248, GBS00024, GBS00032, GBT00035, GBT00070, GFMT00019, GFMT00024, GFT00004, GFTT00055, GOR00089, GOR00090, GOR00116, GOR00169, GOVL00012, GPP00036"
BSM-01,30,30,"GBR00023, GBR00045, GBR00075, GBR00077, GBR00094, GBR00100, GBR00103, GBR00104, GBR00126, GBR00127, GBR00168, GBR00234, GBT00030, GCTTM00001, GFT00015, GFTT00064, GFTT00182, GLA00022, GMNT00006, GMNT00015"
SPG-05,30,30,"GBR00011, GBR00014, GBR00039, GBR00082, GBR00091, GBR00174, GBR00175, GBS00018, GBT00009, GBT00042, GBT00051, GBT00118, GBTR00003, GCHUCK00002, GCTTM00014, GCTTM00015, GDWG00027, GDWG00028, GDWG00030, GDWG00033"
BFD-22,29,29,"GA00009, GA00012, GAFT00028, GB00018, GB00028, GBR00061, GBS00009, GBT00046, GCTTM00001, GCTTM00005, GFMT00005, GFTT00078, GFTT00172, GFTT00174, GJON00059, GMNT00014, GMNT00022, GOVL00025, GOVL00026, GPS00007"
BRM-01,29,29,"GAFT00028, GBR00153, GBR00250, GCNT00026, GDWG00019, GDWG00020, GDWG00021, GDWG00022, GDWG00035, GDWG00036, GDWG00037, GDWG00038, GFTT00051, GFTT00073, GFTT00111, GFTT00134, GFTT00147, GFTT00155, GFTT00156, GFTT00172"
IGM-01,28,28,"GBR00006, GBR00153, GBT00080, GCNT00021, GFTT00032, GFTT00044, GFTT00052, GFTT00074, GFTT00075, GFTT00078, GFTT00095, GFTT00100, GFTT00112, GFTT00116, GMNT00001, GMP00004, GMP00008, GMT00032, GOR00096, GOR00128"
BFD-20,28,28,"GA00009, GA00011, GB00067, GBR00087, GBT00045, GBT00046, GBT00073, GCHUCK00008, GCTTM00003, GFMT00004, GMNT00001, GMNT00003, GMNT00005, GMNT00014, GMNT00025, GMNT00029, GMT00027, GOR00151, GOVL00006, GOVL00022"
BSM-08,28,28,"GAFT00029, GBR00023, GBR00045, GBR00077, GBR00094, GBR00098, GBR00100, GBR00103, GBR00104, GBR00126, GBR00168, GBT00030, GCNT00003, GFTT00045, GFTT00051, GFTT00062, GFTT00064, GFTT00078, GFTT00080, GFTT00084"
BSM-07,28,28,"GBOX00006, GBR00023, GBR00045, GBR00077, GBR00090, GBR00094, GBR00100, GBR00103, GBR00104, GBR00122, GBR00126, GBR00144, GBR00168, GBT00095, GCTTM00003, GFTT00064, GLA00022, GLA00037, GMNT00006, GMNT00026"
SPG-02,28,28,"GAFT00027, GBR00014, GBR00039, GBR00082, GBT00009, GBT00051, GBTR00003, GCTTM00001, GCTTM00010, GDWG00027, GDWG00028, GDWG00030, GDWG00033, GDWG00034, GDWG00045, GFT00009, GFTT00082, GOR00147, GOR00148, GPS00005"
SPG-04,27,27,"GBR00014, GBR00039, GBR00087, GBR00153, GBT00009, GBT00051, GBT00118, GCHUCK00002, GCTTM00002, GCTTM00004, GDWG00027, GDWG00028, GDWG00030, GDWG00033, GDWG00034, GDWG00046, GFTT00082, GMT00014, GOR00080, GOR00147"
SBT-08,26,26,"GBR00019, GBR00098, GBR00150, GBR00183, GBT00018, GBT00041, GBTR00003, GCHUCK00004, GCNT00020, GFMT00019, GFMT00025, GMNT00003, GMT00004, GMT00024, GMT00051, GOR00040, GOR00077, GOVL00026, GPP00023, GRY00033"
BSM-12,26,26,"GBR00142, GCTTM00024, GFTT00049, GFTT00053, GFTT00054, GFTT00056, GFTT00062, GFTT00064, GFTT00078, GFTT00080, GFTT00084, GFTT00085, GFTT00088, GHC00004, GIVT00036, GLA00022, GMNT00002, GPS00002, GPS00012, GRY00058"
MLG-05,26,26,"GBR00017, GBR00091, GBR00100, GBR00103, GBR00109, GBR00110, GBR00137, GBR00168, GBR00208, GBR00236, GBR00293, GCNT00002, GCNT00008, GCNT00010, GCNT00020, GCTTM00024, GDWG00001, GDWG00002, GDWG00059, GFTT00139"
SBT-07,26,26,"GAFT00032, GBS00051, GBT00015, GBT00036, GBT00062, GBTR00003, GCNT00020, GFMT00010, GMT00004, GMT00024, GMT00052, GOR00079, GOVL00006, GOVL00016, GPP00033, GRY00033, GSLN00030, GSLN00031, GSLN00035, GSR00027"
BSM-05,26,26,"GBR00045, GBR00056, GBR00077, GBR00091, GBR00094, GBR00100, GBR00104, GBR00126, GBR00168, GBR00218, GBR00271, GBT00030, GBTR00001, GCNT00003, GFTT00053, GFTT00064, GFTT00149, GLA00022, GOVL00032, GPS00007"
